//year     ,concentration
1874.5     ,8.854
1874.58     ,8.854
1874.67     ,8.854
1874.75     ,8.854
1874.83     ,8.854
1874.92     ,8.854
1875     ,8.854
1875.08     ,8.854
1875.17     ,8.854
1875.25     ,8.854
1875.33     ,8.854
1875.42     ,8.854
1875.5     ,8.854
1875.58     ,8.854
1875.67     ,8.854
1875.75     ,8.854
1875.83     ,8.854
1875.92     ,8.854
1876     ,8.854
1876.08     ,8.854
1876.17     ,8.854
1876.25     ,8.854
1876.33     ,8.854
1876.42     ,8.854
1876.5     ,8.854
1876.58     ,8.854
1876.67     ,8.854
1876.75     ,8.854
1876.83     ,8.854
1876.92     ,8.854
1877     ,8.854
1877.08     ,8.854
1877.17     ,8.854
1877.25     ,8.854
1877.33     ,8.854
1877.42     ,8.854
1877.5     ,8.854
1877.58     ,8.854
1877.67     ,8.854
1877.75     ,8.854
1877.83     ,8.854
1877.92     ,8.854
1878     ,8.854
1878.08     ,8.854
1878.17     ,8.854
1878.25     ,8.854
1878.33     ,8.854
1878.42     ,8.854
1878.5     ,8.854
1878.58     ,8.854
1878.67     ,8.854
1878.75     ,8.854
1878.83     ,8.854
1878.92     ,8.854
1879     ,8.854
1879.08     ,8.854
1879.17     ,8.854
1879.25     ,8.854
1879.33     ,8.854
1879.42     ,8.854
1879.5     ,8.854
1879.58     ,8.854
1879.67     ,8.854
1879.75     ,8.854
1879.83     ,8.854
1879.92     ,8.854
1880     ,8.854
1880.08     ,8.854
1880.17     ,8.854
1880.25     ,8.854
1880.33     ,8.854
1880.42     ,8.854
1880.5     ,8.854
1880.58     ,8.854
1880.67     ,8.854
1880.75     ,8.854
1880.83     ,8.854
1880.92     ,8.854
1881     ,8.854
1881.08     ,8.854
1881.17     ,8.854
1881.25     ,8.854
1881.33     ,8.854
1881.42     ,8.854
1881.5     ,8.854
1881.58     ,8.854
1881.67     ,8.854
1881.75     ,8.854
1881.83     ,8.854
1881.92     ,8.854
1882     ,8.854
1882.08     ,8.854
1882.17     ,8.854
1882.25     ,8.854
