//year,concentration
1879.50,2.00
1879.58,2.00
1879.67,2.00
1879.75,2.00
1879.83,2.00
1879.92,2.00
1880.00,2.00
1880.08,2.00
1880.17,2.00
1880.25,2.00
1880.33,2.00
1880.42,2.00
1880.50,2.00
1880.58,2.00
1880.67,2.00
1880.75,2.00
1880.83,2.00
1880.92,2.00
1881.00,2.00
1881.08,2.00
1881.17,2.00
1881.25,2.00
1881.33,2.00
1881.42,2.00
1881.50,2.00
1881.58,2.00
1881.67,2.00
1881.75,2.00
1881.83,2.00
1881.92,2.00
1882.00,2.00
1882.08,2.00
1882.17,2.00
1882.25,2.00
1882.33,2.00
1882.42,2.00
1882.50,2.00
1882.58,2.00
1882.67,2.00
1882.75,2.00
1882.83,2.00
1882.92,2.00
1883.00,2.00
1883.08,2.00
1883.17,2.00
1883.25,2.00
1883.33,2.00
1883.42,2.00
1883.50,2.00
1883.58,2.00
1883.67,2.00
1883.75,2.00
1883.83,2.00
1883.92,2.00
1884.00,2.00
1884.08,2.00
1884.17,2.00
1884.25,2.00
1884.33,2.00
1884.42,2.00
1884.50,2.00
1884.58,2.00
1884.67,2.00
1884.75,2.00
1884.83,2.00
1884.92,2.00
1885.00,2.00
1885.08,2.00
1885.17,2.00
1885.25,2.00
1885.33,2.00
1885.42,2.00
1885.50,2.00
1885.58,2.00
1885.67,2.00
1885.75,2.00
1885.83,2.00
1885.92,2.00
1886.00,2.00
1886.08,2.00
1886.17,2.00
1886.25,2.00
1886.33,2.00
1886.42,2.00
1886.50,2.00
1886.58,2.00
1886.67,2.00
1886.75,2.00
1886.83,2.00
1886.92,2.00
1887.00,2.00
1887.08,2.00
1887.17,2.00
1887.25,2.00
1887.33,2.00
1887.42,2.00
1887.50,2.00
1887.58,2.00
1887.67,2.00
1887.75,2.00
1887.83,2.00
1887.92,2.00
1888.00,2.00
1888.08,2.00
1888.17,2.00
1888.25,2.00
1888.33,2.00
1888.42,2.00
1888.50,2.00
1888.58,2.00
1888.67,2.00
1888.75,2.00
1888.83,2.00
1888.92,2.00
1889.00,2.00
1889.08,2.00
1889.17,2.00
1889.25,2.00
1889.33,2.00
1889.42,2.00
1889.50,2.00
1889.58,2.00
1889.67,2.00
1889.75,2.00
1889.83,2.00
1889.92,2.00
1890.00,2.00
1890.08,2.00
1890.17,2.00
1890.25,2.00
1890.33,2.00
1890.42,2.00
1890.50,2.00
1890.58,2.00
1890.67,2.00
1890.75,2.00
1890.83,2.00
1890.92,2.00
1891.00,2.00
1891.08,2.00
1891.17,2.00
1891.25,2.00
1891.33,2.00
1891.42,2.00
1891.50,2.00
1891.58,2.00
1891.67,2.00
1891.75,2.00
1891.83,2.00
1891.92,2.00
1892.00,2.00
1892.08,2.00
1892.17,2.00
1892.25,2.00
1892.33,2.00
1892.42,2.00
1892.50,2.00
1892.58,2.00
1892.67,2.00
1892.75,2.00
1892.83,2.00
1892.92,2.00
1893.00,2.00
1893.08,2.00
1893.17,2.00
1893.25,2.00
1893.33,2.00
1893.42,2.00
1893.50,2.00
1893.58,2.00
1893.67,2.00
1893.75,2.00
1893.83,2.00
1893.92,2.00
1894.00,2.00
1894.08,2.00
1894.17,2.00
1894.25,2.00
1894.33,2.00
1894.42,2.00
1894.50,2.00
1894.58,2.00
1894.67,2.00
1894.75,2.00
1894.83,2.00
1894.92,2.00
1895.00,2.00
1895.08,2.00
1895.17,2.00
1895.25,2.00
1895.33,2.00
1895.42,2.00
1895.50,2.00
1895.58,2.00
1895.67,2.00
1895.75,2.00
1895.83,2.00
1895.92,2.00
1896.00,2.00
1896.08,2.00
1896.17,2.00
1896.25,2.00
1896.33,2.00
1896.42,2.00
1896.50,2.00
1896.58,2.00
1896.67,2.00
1896.75,2.00
1896.83,2.00
1896.92,2.00
1897.00,2.00
1897.08,2.00
1897.17,2.00
1897.25,2.00
1897.33,2.00
1897.42,2.00
1897.50,2.00
1897.58,2.00
1897.67,2.00
1897.75,2.00
1897.83,2.00
1897.92,2.00
1898.00,2.00
1898.08,2.00
1898.17,2.00
1898.25,2.00
1898.33,2.00
1898.42,2.00
1898.50,2.00
1898.58,2.00
1898.67,2.00
1898.75,2.00
1898.83,2.00
1898.92,2.00
1899.00,2.00
1899.08,2.00
1899.17,2.00
1899.25,2.00
1899.33,2.00
1899.42,2.00
1899.50,2.00
1899.58,2.00
1899.67,2.00
1899.75,2.00
1899.83,2.00
1899.92,2.00
1900.00,2.00
1900.08,2.00
1900.17,2.00
1900.25,2.00
1900.33,2.00
1900.42,2.00
1900.50,2.00
1900.58,2.00
1900.67,2.00
1900.75,2.00
1900.83,2.00
1900.92,2.00
1901.00,2.00
1901.08,2.00
1901.17,2.00
1901.25,2.00
1901.33,2.00
1901.42,2.00
1901.50,2.00
1901.58,2.00
1901.67,2.00
1901.75,2.00
1901.83,2.00
1901.92,2.00
1902.00,2.00
1902.08,2.00
1902.17,2.00
1902.25,2.00
1902.33,2.00
1902.42,2.00
1902.50,2.00
1902.58,2.00
1902.67,2.00
1902.75,2.00
1902.83,2.00
1902.92,2.00
1903.00,2.00
1903.08,2.00
1903.17,2.00
1903.25,2.00
1903.33,2.00
1903.42,2.00
1903.50,2.00
1903.58,2.00
1903.67,2.00
1903.75,2.00
1903.83,2.00
1903.92,2.00
1904.00,2.00
1904.08,2.00
1904.17,2.00
1904.25,2.00
1904.33,2.00
1904.42,2.00
1904.50,2.00
1904.58,2.00
1904.67,2.00
1904.75,2.00
1904.83,2.00
1904.92,2.00
1905.00,2.00
1905.08,2.00
1905.17,2.00
1905.25,2.00
1905.33,2.00
1905.42,2.00
1905.50,2.00
1905.58,2.00
1905.67,2.00
1905.75,2.00
1905.83,2.00
1905.92,2.00
1906.00,2.00
1906.08,2.00
1906.17,2.00
1906.25,2.00
1906.33,2.00
1906.42,2.00
1906.50,2.00
1906.58,2.00
1906.67,2.00
1906.75,2.00
1906.83,2.00
1906.92,2.00
1907.00,2.00
1907.08,2.00
1907.17,2.00
1907.25,2.00
1907.33,2.00
1907.42,2.00
1907.50,2.00
1907.58,2.00
1907.67,2.00
1907.75,2.00
1907.83,2.00
1907.92,2.00
1908.00,2.00
1908.08,2.00
1908.17,2.00
1908.25,2.00
1908.33,2.00
1908.42,2.00
1908.50,2.00
1908.58,2.00
1908.67,2.00
1908.75,2.00
1908.83,2.00
1908.92,2.00
1909.00,2.00
1909.08,2.00
1909.17,2.00
1909.25,2.00
1909.33,2.00
1909.42,2.00
1909.50,2.00
1909.58,2.00
1909.67,2.00
1909.75,2.00
1909.83,2.00
1909.92,2.00
1910.00,2.00
1910.08,2.00
1910.17,2.00
1910.25,2.00
1910.33,2.00
1910.42,2.00
1910.50,2.00
1910.58,2.00
1910.67,2.00
1910.75,2.00
1910.83,2.00
1910.92,2.00
1911.00,2.00
1911.08,2.00
1911.17,2.00
1911.25,2.00
1911.33,2.00
1911.42,2.00
1911.50,2.00
1911.58,2.00
1911.67,2.00
1911.75,2.00
1911.83,2.00
1911.92,2.00
1912.00,2.00
1912.08,2.00
1912.17,2.00
1912.25,2.00
1912.33,2.00
1912.42,2.00
1912.50,2.00
1912.58,2.00
1912.67,2.00
1912.75,2.00
1912.83,2.00
1912.92,2.00
1913.00,2.00
1913.08,2.00
1913.17,2.00
1913.25,2.00
1913.33,2.00
1913.42,2.00
1913.50,2.00
1913.58,2.00
1913.67,2.00
1913.75,2.00
1913.83,2.00
1913.92,2.00
1914.00,2.00
1914.08,2.00
1914.17,2.00
1914.25,2.00
1914.33,2.00
1914.42,2.00
1914.50,2.00
1914.58,2.00
1914.67,2.00
1914.75,2.00
1914.83,2.00
1914.92,2.00
1915.00,2.00
1915.08,2.00
1915.17,2.00
1915.25,2.00
1915.33,2.00
1915.42,2.00
1915.50,2.00
1915.58,2.00
1915.67,2.00
1915.75,2.00
1915.83,2.00
1915.92,2.00
1916.00,2.00
1916.08,2.00
1916.17,2.00
1916.25,2.00
1916.33,2.00
1916.42,2.00
1916.50,2.00
1916.58,2.00
1916.67,2.00
1916.75,2.00
1916.83,2.00
1916.92,2.00
1917.00,2.00
1917.08,2.00
1917.17,2.00
1917.25,2.00
1917.33,2.00
1917.42,2.00
1917.50,2.00
1917.58,2.00
1917.67,2.00
1917.75,2.00
1917.83,2.00
1917.92,2.00
1918.00,2.00
1918.08,2.00
1918.17,2.00
1918.25,2.00
1918.33,2.00
1918.42,2.00
1918.50,2.00
1918.58,2.00
1918.67,2.00
1918.75,2.00
1918.83,2.00
1918.92,2.00
1919.00,2.00
1919.08,2.00
1919.17,2.00
1919.25,2.00
1919.33,2.00
1919.42,2.00
1919.50,2.00
1919.58,2.00
1919.67,2.00
1919.75,2.00
1919.83,2.00
1919.92,2.00
1920.00,2.00
1920.08,2.00
1920.17,2.00
1920.25,2.00
1920.33,2.00
1920.42,2.00
1920.50,2.00
1920.58,2.00
1920.67,2.00
1920.75,2.00
1920.83,2.00
1920.92,2.00
1921.00,2.00
1921.08,2.00
1921.17,2.00
1921.25,2.00
1921.33,2.00
1921.42,2.00
1921.50,2.00
1921.58,2.00
1921.67,2.00
1921.75,2.00
1921.83,2.00
1921.92,2.00
1922.00,2.00
1922.08,2.00
1922.17,2.00
1922.25,2.00
1922.33,2.00
1922.42,2.00
1922.50,2.00
1922.58,2.00
1922.67,2.00
1922.75,2.00
1922.83,2.00
1922.92,2.00
1923.00,2.00
1923.08,2.00
1923.17,2.00
1923.25,2.00
1923.33,2.00
1923.42,2.00
1923.50,2.00
1923.58,2.00
1923.67,2.00
1923.75,2.00
1923.83,2.00
1923.92,2.00
1924.00,2.00
1924.08,2.00
1924.17,2.00
1924.25,2.00
1924.33,2.00
1924.42,2.00
1924.50,2.00
1924.58,2.00
1924.67,2.00
1924.75,2.00
1924.83,2.00
1924.92,2.00
1925.00,2.00
1925.08,2.00
1925.17,2.00
1925.25,2.00
1925.33,2.00
1925.42,2.00
1925.50,2.00
1925.58,2.00
1925.67,2.00
1925.75,2.00
1925.83,2.00
1925.92,2.00
1926.00,2.00
1926.08,2.00
1926.17,2.00
1926.25,2.00
1926.33,2.00
1926.42,2.00
1926.50,2.00
1926.58,2.00
1926.67,2.00
1926.75,2.00
1926.83,2.00
1926.92,2.00
1927.00,2.00
1927.08,2.00
1927.17,2.00
1927.25,2.00
1927.33,2.00
1927.42,2.00
1927.50,2.00
1927.58,2.00
1927.67,2.00
1927.75,2.00
1927.83,2.00
1927.92,2.00
1928.00,2.00
1928.08,2.00
1928.17,2.00
1928.25,2.00
1928.33,2.00
1928.42,2.00
1928.50,2.00
1928.58,2.00
1928.67,2.00
1928.75,2.00
1928.83,2.00
1928.92,2.00
1929.00,2.00
1929.08,2.00
1929.17,2.00
1929.25,2.00
1929.33,2.00
1929.42,2.00
1929.50,2.00
1929.58,2.00
1929.67,2.00
1929.75,2.00
1929.83,2.00
1929.92,2.00
1930.00,2.00
1930.08,2.00
1930.17,2.00
1930.25,2.00
1930.33,2.00
1930.42,2.00
1930.50,2.00
1930.58,2.00
1930.67,2.00
1930.75,2.00
1930.83,2.00
1930.92,2.00
1931.00,2.00
1931.08,2.00
1931.17,2.00
1931.25,2.00
1931.33,2.00
1931.42,2.00
1931.50,2.00
1931.58,2.00
1931.67,2.00
1931.75,2.00
1931.83,2.00
1931.92,2.00
1932.00,2.00
1932.08,2.00
1932.17,2.00
1932.25,2.00
1932.33,2.00
1932.42,2.00
1932.50,2.00
1932.58,2.00
1932.67,2.00
1932.75,2.00
1932.83,2.00
1932.92,2.00
1933.00,2.00
1933.08,2.00
1933.17,2.00
1933.25,2.00
1933.33,2.00
1933.42,2.00
1933.50,2.00
1933.58,2.00
1933.67,2.00
1933.75,2.00
1933.83,2.00
1933.92,2.00
1934.00,2.00
1934.08,2.00
1934.17,2.00
1934.25,2.00
1934.33,2.00
1934.42,2.00
1934.50,2.00
1934.58,2.00
1934.67,2.00
1934.75,2.00
1934.83,2.00
1934.92,2.00
1935.00,2.00
1935.08,2.00
1935.17,2.00
1935.25,2.00
1935.33,2.00
1935.42,2.00
1935.50,2.00
1935.58,2.00
1935.67,2.00
1935.75,2.00
1935.83,2.00
1935.92,2.00
1936.00,2.00
1936.08,2.00
1936.17,2.00
1936.25,2.00
1936.33,2.00
1936.42,2.00
1936.50,2.00
1936.58,2.00
1936.67,2.00
1936.75,2.00
1936.83,2.00
1936.92,2.00
1937.00,2.00
1937.08,2.00
1937.17,2.00
1937.25,2.00
1937.33,2.00
1937.42,2.00
1937.50,2.00
1937.58,2.00
1937.67,2.00
1937.75,2.00
1937.83,2.00
1937.92,2.00
1938.00,2.00
1938.08,2.00
1938.17,2.00
1938.25,2.00
1938.33,2.00
1938.42,2.00
1938.50,2.00
1938.58,2.00
1938.67,2.00
1938.75,2.00
1938.83,2.00
1938.92,2.00
1939.00,2.00
1939.08,2.00
1939.17,2.00
1939.25,2.00
1939.33,2.00
1939.42,2.00
1939.50,2.00
1939.58,2.00
1939.67,2.00
1939.75,2.00
1939.83,2.00
1939.92,2.00
