sample_no, 3H_std, Well1_P1, log_posterior, log_posterior_transformed, stuck_counter, perturbation_coeff_0, perturbation_coeff_1, 
960, 1.680075e-01, 4.513031e-01, -3.828076e+00, -3.828076e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
961, 2.663894e-01, 3.056965e-01, -2.644371e+00, -2.644371e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
962, 1.021197e-01, 1.008453e+01, -3.018867e+00, -1.418624e+01, 7.000000, 8.186969e-01, 6.279487e-01, 
963, 3.146637e-01, 9.523137e-01, -2.240472e+00, -2.240472e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
964, 1.406104e-01, 1.263442e-01, -2.946301e+00, -5.117224e+01, 1.000000, 8.186969e-01, 6.279487e-01, 
965, 8.045922e-01, 3.811005e+00, -3.440826e+00, -3.440826e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
966, 5.734654e-01, 2.781248e+00, -2.819321e+00, -3.579666e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
967, 3.752610e-01, 1.526713e+00, -2.277096e+00, -3.038124e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
968, 1.680075e-01, 4.513031e-01, -3.828076e+00, -1.378788e+01, 1.000000, 8.186969e-01, 6.279487e-01, 
969, 2.963375e-01, 4.227784e-01, -2.435128e+00, -2.435128e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
970, 1.021197e-01, 1.008453e+01, -3.018867e+00, -5.515076e+00, 7.000000, 8.186969e-01, 6.279487e-01, 
971, 3.146637e-01, 9.523137e-01, -2.240472e+00, -7.887468e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
972, 1.249333e-01, 1.033263e-01, -2.444013e+00, -2.444013e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
973, 1.290085e+00, 1.020472e+00, -3.330998e+00, -3.330998e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
974, 1.200315e+00, 5.071599e+00, -4.260911e+00, -4.260911e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
975, 3.024471e-01, 1.273139e+00, -2.263994e+00, -2.263994e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
976, 2.663701e-01, 4.830196e-01, -2.505474e+00, -2.505474e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
977, 3.229142e-01, 2.672312e-01, -2.519788e+00, -2.519788e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
978, 1.021197e-01, 1.008453e+01, -3.018867e+00, -1.776099e+01, 7.000000, 8.186969e-01, 6.279487e-01, 
979, 3.146637e-01, 9.523137e-01, -2.240472e+00, -2.748305e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
980, 1.071601e-01, 8.277643e-02, -1.990412e+00, -1.990412e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
981, 7.158465e-01, 1.266657e+00, -2.664207e+00, -2.664207e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
982, 3.989454e-01, 3.629870e+00, -2.686522e+00, -2.686522e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
983, 3.908759e-01, 8.886444e-01, -2.214393e+00, -2.214393e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
984, 4.621334e-01, 3.536400e-01, -2.427053e+00, -2.427053e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
985, 3.365882e-01, 2.791435e-01, -2.492313e+00, -2.492313e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
986, 1.021197e-01, 1.008453e+01, -3.018867e+00, -4.552179e+01, 7.000000, 8.186969e-01, 6.279487e-01, 
987, 4.487069e-01, 7.375036e-01, -2.253958e+00, -2.253958e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
988, 1.022244e-01, 1.034673e-01, -2.645323e+00, -2.645323e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
989, 7.158465e-01, 1.266657e+00, -2.664207e+00, -3.101550e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
990, 2.089557e-01, 3.358231e+00, -2.512867e+00, -2.512867e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
991, 4.448455e-01, 6.650375e-01, -2.258849e+00, -2.258849e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
992, 4.621334e-01, 3.536400e-01, -2.427053e+00, -4.470008e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
993, 3.365882e-01, 2.791435e-01, -2.492313e+00, -4.717715e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
994, 1.021197e-01, 1.008453e+01, -3.018867e+00, -3.012677e+01, 7.000000, 8.186969e-01, 6.279487e-01, 
995, 4.854405e-01, 7.441040e-01, -2.288844e+00, -2.288844e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
996, 1.022244e-01, 1.034673e-01, -2.645323e+00, -1.662886e+01, 1.000000, 8.186969e-01, 6.279487e-01, 
997, 4.005890e-01, 7.336561e-01, -2.223717e+00, -2.223717e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
998, 2.089557e-01, 3.358231e+00, -2.512867e+00, -5.475541e+00, 1.000000, 8.186969e-01, 6.279487e-01, 
999, 5.624042e-01, 7.912984e-01, -2.380354e+00, -2.380354e+00, 0.000000, 8.186969e-01, 6.279487e-01, 
